TP9,AF7,AF8,TP10,board_ts,unix_ts
-3.90625,59.5703125,-485.3515625,-11.23046875,1758405222.5137992,1758405222.5308447
-4.8828125,-245.60546875,-630.859375,-8.30078125,1758405222.5163312,1758405222.534751
-6.34765625,143.06640625,-356.4453125,-15.625,1758405222.518863,1758405222.5386572
-9.765625,75.68359375,-485.3515625,-13.18359375,1758405222.5213947,1758405222.5425634
-4.8828125,-424.8046875,-794.921875,-13.18359375,1758405222.5239265,1758405222.5464697
-2.9296875,-624.51171875,-829.1015625,-9.765625,1758405222.5264583,1758405222.550376
-12.6953125,-49.8046875,-455.56640625,-9.765625,1758405222.5289903,1758405222.5542822
-13.671875,399.4140625,-330.078125,-16.11328125,1758405222.531522,1758405222.5581884
-10.25390625,-225.5859375,-742.1875,-13.18359375,1758405222.5340538,1758405222.5620947
-7.8125,-613.28125,-816.40625,-5.37109375,1758405222.5365856,1758405222.566001
-6.34765625,186.03515625,-371.58203125,-14.16015625,1758405222.5403643,1758405222.5699072
-8.30078125,398.92578125,-421.38671875,-20.99609375,1758405222.544143,1758405222.5738134
-14.16015625,13.671875,-770.99609375,-16.11328125,1758405222.5479217,1758405222.5777197
-20.99609375,110.3515625,-683.10546875,-25.87890625,1758405222.5517004,1758405222.581626
-23.4375,312.5,-576.171875,-30.2734375,1758405222.555479,1758405222.5855322
-15.625,53.22265625,-853.515625,-16.11328125,1758405222.5592577,1758405222.5894384
-15.625,-600.5859375,-1000.0,-7.32421875,1758405222.5630364,1758405222.5933447
-21.484375,-791.50390625,-908.69140625,-8.7890625,1758405222.5668151,1758405222.597251
-22.4609375,106.93359375,-508.30078125,-18.06640625,1758405222.5705938,1758405222.6011572
-13.671875,242.67578125,-532.71484375,-22.4609375,1758405222.5743725,1758405222.6050634
-7.32421875,-19.53125,-750.9765625,-19.53125,1758405222.5781512,1758405222.6089697
-18.5546875,232.91015625,-623.53515625,-27.34375,1758405222.58193,1758405222.612876
-20.01953125,461.9140625,-520.99609375,-33.203125,1758405222.586881,1758405222.6167822
-10.7421875,219.7265625,-699.21875,-26.85546875,1758405222.5918322,1758405222.6206884
-16.6015625,1.953125,-867.1875,-31.25,1758405222.5967832,1758405222.6245947
-27.83203125,274.4140625,-708.49609375,-34.1796875,1758405222.6017344,1758405222.628501
-20.99609375,395.99609375,-646.484375,-29.296875,1758405222.6066854,1758405222.6324072
-10.25390625,-100.09765625,-872.55859375,-27.83203125,1758405222.6116366,1758405222.6363134
-22.94921875,-625.0,-917.96875,-29.296875,1758405222.6165876,1758405222.6402197
-30.76171875,-209.47265625,-641.6015625,-35.15625,1758405222.6215386,1758405222.644126
-24.4140625,237.79296875,-452.1484375,-34.1796875,1758405222.6264899,1758405222.6480322
-34.66796875,-46.38671875,-616.69921875,-27.83203125,1758405222.6314409,1758405222.6519384
-40.0390625,-277.83203125,-728.515625,-24.4140625,1758405222.636392,1758405222.6558447
-38.0859375,209.9609375,-380.859375,-29.78515625,1758405222.641343,1758405222.659751
-37.59765625,395.99609375,-293.9453125,-31.73828125,1758405222.6451302,1758405222.6636572
-34.66796875,157.2265625,-458.984375,-30.76171875,1758405222.6489172,1758405222.6675634
-26.85546875,197.265625,-402.34375,-35.15625,1758405222.652704,1758405222.6714697
-20.01953125,521.97265625,-198.2421875,-35.15625,1758405222.656491,1758405222.675376
-22.4609375,450.68359375,-319.82421875,-35.15625,1758405222.660278,1758405222.6792822
-37.59765625,-34.66796875,-676.7578125,-38.57421875,1758405222.664065,1758405222.6831884
-41.9921875,-71.77734375,-639.6484375,-35.64453125,1758405222.667852,1758405222.6870947
-35.15625,406.25,-291.015625,-31.73828125,1758405222.671639,1758405222.691001
-38.57421875,406.73828125,-352.5390625,-32.71484375,1758405222.675426,1758405222.6949072
-50.29296875,-308.59375,-781.25,-29.78515625,1758405222.679213,1758405222.6988134
-46.875,-410.15625,-769.04296875,-38.0859375,1758405222.6829998,1758405222.7027197
-29.78515625,358.88671875,-267.08984375,-46.875,1758405222.686787,1758405222.706626
-32.71484375,401.85546875,-351.07421875,-40.52734375,1758405222.690594,1758405222.7105322
-44.921875,-67.3828125,-746.09375,-38.0859375,1758405222.694401,1758405222.7144384
-35.15625,169.921875,-586.42578125,-40.0390625,1758405222.698208,1758405222.7183447
-3.41796875,544.43359375,-387.20703125,-26.85546875,1758405222.7020152,1758405222.722251
6.8359375,264.6484375,-623.046875,-4.8828125,1758405222.7058222,1758405222.7261572
-20.01953125,-203.125,-988.28125,-21.484375,1758405222.7096295,1758405222.7300634
-52.24609375,-49.31640625,-873.046875,-51.26953125,1758405222.7134366,1758405222.7339697
-52.24609375,399.4140625,-647.94921875,-44.921875,1758405222.7172437,1758405222.737876
-38.0859375,-185.05859375,-900.390625,-34.66796875,1758405222.7210507,1758405222.7417822
-37.59765625,-675.78125,-894.04296875,-44.921875,1758405222.7248578,1758405222.7456884
-46.38671875,208.49609375,-494.140625,-58.59375,1758405222.7286649,1758405222.7495947
-37.109375,586.9140625,-487.79296875,-50.29296875,1758405222.732472,1758405222.753501
-29.78515625,47.8515625,-833.984375,-39.55078125,1758405222.7361777,1758405222.7574072
-38.0859375,-66.40625,-946.2890625,-42.96875,1758405222.7398834,1758405222.7613134
-40.52734375,347.65625,-787.59765625,-38.57421875,1758405222.743589,1758405222.7652197
-33.69140625,395.99609375,-821.77734375,-23.92578125,1758405222.7472947,1758405222.769126
-30.76171875,-30.2734375,-945.80078125,-27.34375,1758405222.7510004,1758405222.7730322
-44.921875,-330.56640625,-1000.0,-36.62109375,1758405222.754706,1758405222.7769384
-51.7578125,7.8125,-939.94140625,-35.15625,1758405222.7584116,1758405222.7808447
-47.8515625,370.60546875,-830.56640625,-33.203125,1758405222.7621174,1758405222.784751
-47.36328125,-398.92578125,-976.5625,-21.484375,1758405222.7658231,1758405222.7886572
-44.921875,-621.09375,-913.57421875,-19.04296875,1758405222.7695289,1758405222.7925634
-28.80859375,376.46484375,-620.60546875,-25.87890625,1758405222.7732344,1758405222.7964697
-27.83203125,328.61328125,-740.72265625,-23.4375,1758405222.77694,1758405222.800376
-30.2734375,108.88671875,-916.015625,-22.94921875,1758405222.7806582,1758405222.8042822
-22.94921875,374.0234375,-757.32421875,-28.3203125,1758405222.7843764,1758405222.8081884
-26.85546875,457.03125,-788.57421875,-27.83203125,1758405222.7880945,1758405222.8120947
-26.3671875,-16.11328125,-997.0703125,-21.484375,1758405222.7918127,1758405222.816001
-22.4609375,-300.78125,-913.0859375,-24.4140625,1758405222.7955308,1758405222.8199072
-16.6015625,-93.75,-865.72265625,-27.83203125,1758405222.7992487,1758405222.8238134
-14.6484375,232.421875,-816.89453125,-27.34375,1758405222.8029668,1758405222.8277197
-15.13671875,59.5703125,-832.51953125,-24.4140625,1758405222.806685,1758405222.831626
-12.6953125,-557.12890625,-948.2421875,-6.34765625,1758405222.810403,1758405222.8355322
