,TP9,AF7,AF8,TP10
56,-53.7109375,-79.1015625,101.5625,-76.66015625
57,-43.45703125,-124.0234375,-53.7109375,-75.68359375
58,-50.29296875,-70.3125,-21.484375,-75.1953125
59,-49.31640625,-84.9609375,-4.39453125,-69.82421875
60,-40.0390625,-133.7890625,-67.3828125,-63.4765625
61,-38.0859375,-120.60546875,-95.703125,-58.59375
62,-38.57421875,-72.75390625,-34.1796875,-45.8984375
63,-44.43359375,-93.75,-32.2265625,-38.57421875
64,-51.26953125,-119.140625,-98.14453125,-41.015625
65,-62.01171875,-98.6328125,-106.93359375,-38.57421875
66,-62.01171875,-58.59375,-61.03515625,-32.71484375
67,-40.52734375,-23.92578125,-1.46484375,-24.90234375
68,-31.73828125,-39.55078125,-1.46484375,-36.1328125
69,-37.59765625,-106.93359375,-166.50390625,-35.64453125
70,-31.73828125,33.69140625,-0.9765625,-17.08984375
71,-27.83203125,64.453125,141.6015625,-33.203125
72,-31.25,-34.66796875,-31.73828125,-42.48046875
73,-22.94921875,0.0,-19.53125,-30.76171875
74,-18.5546875,51.26953125,63.4765625,-29.296875
75,-16.11328125,52.24609375,61.5234375,-23.92578125
76,-12.20703125,17.08984375,-15.13671875,-14.6484375
77,-18.5546875,33.69140625,-33.203125,-11.23046875
78,-9.27734375,124.51171875,107.91015625,-20.99609375
79,-1.46484375,88.8671875,93.75,-19.53125
80,-18.5546875,35.64453125,-25.87890625,-17.08984375
81,-27.34375,112.3046875,60.546875,-22.4609375
82,-31.73828125,124.51171875,135.25390625,-17.578125
83,-31.25,101.5625,101.5625,-21.484375
84,-16.11328125,9.765625,-67.87109375,-16.11328125
85,-26.85546875,107.91015625,-16.11328125,-10.25390625
86,-42.48046875,229.98046875,236.328125,-28.3203125
87,-29.296875,100.09765625,115.234375,-29.296875
88,-24.4140625,91.796875,31.25,-27.34375
89,-33.69140625,125.48828125,57.12890625,-33.203125
90,-30.76171875,167.48046875,129.39453125,-35.15625
91,-34.66796875,126.953125,122.0703125,-38.57421875
92,-41.015625,87.40234375,-25.87890625,-35.64453125
93,-42.96875,178.7109375,82.03125,-38.57421875
94,-42.96875,168.9453125,150.87890625,-45.41015625
95,-35.64453125,138.671875,61.03515625,-37.59765625
96,-40.52734375,143.06640625,58.59375,-27.83203125
97,-41.9921875,195.80078125,139.6484375,-31.25
98,-37.109375,174.31640625,129.8828125,-39.55078125
99,-28.80859375,146.97265625,62.01171875,-34.1796875
100,-30.2734375,137.20703125,45.41015625,-21.97265625
101,-45.8984375,148.4375,59.08203125,-32.2265625
102,-51.26953125,195.80078125,112.3046875,-44.921875
103,-45.41015625,130.859375,52.734375,-37.109375
104,-40.52734375,174.31640625,112.3046875,-32.71484375
105,-39.55078125,283.203125,291.015625,-34.66796875
106,-35.15625,200.1953125,187.01171875,-30.2734375
107,-26.3671875,206.0546875,158.69140625,-27.83203125
108,-20.01953125,239.2578125,192.3828125,-31.73828125
109,-16.11328125,259.27734375,250.48828125,-18.06640625
110,-12.6953125,220.21484375,231.4453125,-11.23046875
111,-8.7890625,221.19140625,157.71484375,-16.6015625
112,-7.32421875,286.62109375,255.859375,-9.765625
113,-0.48828125,232.91015625,259.27734375,0.0
114,6.34765625,228.02734375,222.65625,-1.953125
115,-14.6484375,239.74609375,202.1484375,0.0
116,-20.5078125,316.89453125,335.44921875,-3.90625
117,0.48828125,305.17578125,396.484375,-11.23046875
118,0.0,221.19140625,241.2109375,-7.8125
119,-9.27734375,231.4453125,246.09375,-1.953125
120,-3.41796875,271.484375,316.40625,2.9296875
121,6.34765625,258.7890625,309.08203125,1.953125
122,6.34765625,176.26953125,182.12890625,-1.953125
123,7.32421875,206.0546875,205.078125,-8.30078125
124,-2.44140625,244.62890625,309.08203125,-4.39453125
125,-2.44140625,213.37890625,258.7890625,2.44140625
126,-2.9296875,165.0390625,175.78125,-5.859375
127,-23.4375,204.58984375,190.91796875,-15.13671875
128,-22.4609375,335.9375,393.06640625,-20.01953125
129,-13.671875,236.81640625,318.359375,-18.06640625
130,-19.53125,214.84375,219.7265625,-16.6015625
131,-22.4609375,254.8828125,260.7421875,-15.13671875
132,-20.5078125,241.2109375,276.3671875,-8.30078125
133,-23.92578125,201.66015625,211.9140625,-15.13671875
134,-23.4375,208.984375,182.12890625,-22.4609375
135,-29.296875,245.60546875,243.65234375,-21.97265625
136,-41.9921875,191.40625,202.1484375,-31.73828125
137,-37.59765625,151.3671875,114.2578125,-36.1328125
138,-39.0625,198.73046875,120.1171875,-41.50390625
139,-35.64453125,238.76953125,200.1953125,-48.33984375
140,-39.55078125,213.37890625,201.66015625,-52.734375
141,-43.9453125,158.69140625,91.796875,-48.33984375
142,-36.62109375,101.07421875,-58.59375,-34.66796875
143,-41.50390625,206.0546875,94.23828125,-35.64453125
144,-40.52734375,237.79296875,240.234375,-41.50390625
145,-34.1796875,118.65234375,35.64453125,-43.9453125
146,-43.45703125,140.625,16.11328125,-51.7578125
147,-55.17578125,193.359375,105.95703125,-59.5703125
